Label no,pH,EC,Bulk_Density,Porosity,MC,Viability
1,5.72,108.3,1.25345,52.7,21.7,1
2,5.82,105.8,1.5211,42.6,10.8,0
3,6.73,123.3,1.4416,45.6,23.5,1
4,5.69,129.2,1.31705,50.3,15.3,1
5,5.68,99.1,1.2773,51.8,12.3,0
6,5.66,125.3,1.3356,49.6,18.7,1
7,5.77,113.3,1.5529,41.4,10.9,0
8,5.73,112.8,1.4257,46.2,19.3,1
9,5.78,100.5,1.31705,50.3,20.7,1
10,5.74,131.8,1.4416,45.6,18.6,1
11,5.11,74.5,1.4787,44.2,18.2,0
12,5.76,128,1.2402,53.2,19.5,1
13,5.54,160,1.35415,48.9,16.4,1
14,5.55,120.1,1.3886,47.6,21.3,1
15,5.68,85.6,1.45485,45.1,8.3,0
16,5.64,127.1,1.4628,44.8,22.5,1
17,5.66,107.7,1.4416,45.6,7.9,0
18,5.67,99.8,1.44955,45.3,16.8,0
19,5.57,86,1.5052,43.2,7.6,0
20,5.64,78.6,1.3621,48.6,17.9,1
21,5.72,95.1,1.4045,47,22.6,1
22,5.75,159.4,1.34885,49.1,14.1,0
23,5.51,76,1.37005,48.3,15.3,0
24,5.73,145.1,1.37005,48.3,18.1,1
25,5.91,86.6,1.52905,42.3,25.3,0
26,5.66,146,1.44955,45.3,17.5,1
27,5.71,132,1.5582,41.2,18.6,1
28,5.83,114.3,1.3621,48.6,15.9,1
29,5.77,91.6,1.53435,42.1,7.2,0
30,5.83,84.9,1.4999,43.4,7.6,0
31,5.73,95.2,1.4416,45.6,12.3,0
32,5.78,96.2,1.33825,49.5,14.5,1
33,5.78,88.2,1.5476,41.6,9.9,0
34,5.68,127.6,1.2614,52.4,17.9,1
35,5.69,114.3,1.3621,48.6,16.4,1
36,5.78,88.5,1.52375,42.5,9.4,0
37,5.71,79,1.4946,43.6,15.8,0
38,5.76,110,1.3197,50.2,19.7,1
39,5.57,120.6,1.2826,51.6,16.8,1
40,5.77,94,1.5211,42.6,12.3,0
41,5.83,99.4,1.2879,51.4,14.4,1
42,5.72,149.1,1.26405,52.3,16.8,0
43,5.75,102.1,1.35945,48.7,14.3,1
44,5.63,210,1.3144,50.4,15.7,0
45,5.69,130.6,1.42835,46.1,16.6,1
46,5.42,103.5,1.36945,43.4,16.8,1
47,5.52,129.1,1.70501,35.66,8.4,0
48,5.49,165.7,1.5582,41.2,5.5,0
49,5.71,111.6,1.38065,47.9,15.6,1
50,5.66,142.9,1.31705,50.3,14.2,0
51,5.57,142.3,1.2879,51.4,18.6,1
52,5.59,140.5,1.3144,50.4,17.5,1
53,5.65,117.4,1.3091,50.6,15.6,1
54,5.66,104.8,1.38065,47.9,14.2,1
55,5.61,107.8,1.32235,50.1,19.2,1
56,5.65,116.9,1.39655,47.3,9.8,1
57,5.67,128.4,1.45485,45.1,12.2,0
58,5.74,252,1.61385,39.1,5.7,0
59,5.5,97.1,1.2349,53.4,15.6,0
60,5.84,73.3,1.27995,51.7,18.7,1
61,5.74,90.7,1.31705,50.3,18.5,1
62,5.77,70.3,1.4681,44.6,11.3,0
63,5.75,126.6,1.2879,51.4,19.8,1
64,5.85,53.5,1.2349,53.4,17.3,0
65,5.79,92.4,1.5476,41.6,9.2,0
66,5.83,85.5,1.4204,46.4,16.3,0
67,5.77,87.2,1.3992,47.2,22.1,1
68,5.77,92.5,1.4575,45,16.8,0
69,5.67,176.9,1.5211,42.6,10.2,0
70,5.82,89.5,1.46015,44.9,20.3,0
71,5.83,82.2,1.26405,52.3,8.4,0
72,5.92,74.4,1.34355,49.3,9.2,0
73,5.79,34.9,1.35415,48.9,18.7,1
74,5.48,97,1.45485,45.1,12.3,0
75,5.75,88.9,1.43895,45.7,12.8,1
76,5.77,85.3,1.3992,47.2,10.4,0
77,5.81,88.7,1.5582,41.2,8.5,0
78,5.57,95.2,1.3621,48.6,15.9,1
79,5.72,91.9,1.5423,41.8,14.3,0
80,5.86,98.6,1.5052,43.2,15.5,0
81,5.15,88.6,1.44955,45.3,14.2,1
82,5.84,82.8,1.3356,49.6,20.5,0
83,5.75,76.6,1.5423,41.8,14.3,0
84,5.82,101.5,1.3886,47.6,23.5,1
85,5.77,95.4,1.325,50,21.2,1
86,5.7,101.7,1.37535,48.1,16.9,1
87,5.74,84.2,1.5847,40.2,12.5,0
88,5.8,83.3,1.2614,52.4,14.7,0
89,5.87,78.2,1.55025,41.5,15.3,0
90,5.66,95.8,1.2826,51.6,15.2,1
91,5.85,71.5,1.26405,52.3,12.2,0
92,5.71,72,1.35415,48.9,16.1,1
93,5.68,84.8,1.39125,47.5,19.4,0
94,5.72,91,1.3144,50.4,11.4,0
95,5.88,107.7,1.5529,41.4,8.3,0
96,5.85,88.1,1.2402,53.2,20.1,0
97,5.95,89.3,1.2826,51.6,12.3,0
98,5.92,78.7,1.3197,50.2,22.3,1
99,5.8,91.9,1.30645,50.7,14.8,0
100,5.68,88.2,1.34355,49.3,16.8,0
101,5.83,90.8,1.10505,58.3,10.4,0
102,5.89,69.3,1.2932,51.2,12.3,0
103,5.9,78.9,1.3886,47.6,10.2,0
104,4.19,54.3,1.3674,48.4,15.2,0
105,5.63,104.9,1.52905,42.3,12.3,1
106,5.65,166.3,1.3939,47.4,16.9,0
107,5.69,80.4,1.3621,48.6,15.6,0
108,5.66,82.8,1.54495,41.7,15.4,0
109,5.76,133.5,1.44955,45.3,14.2,1
110,5.78,91,1.24285,53.1,12.8,0
111,5.73,94.6,1.31175,50.5,14.9,0
112,5.69,79.2,1.4522,45.2,12.3,0
113,5.62,71.7,1.5582,41.2,10.2,0
114,5.73,80.8,1.3674,48.4,15.6,0
115,5.66,70.8,1.4681,44.6,18.1,0
116,5.63,104.6,1.4893,43.8,15.2,1
117,5.72,105.6,1.4469,45.4,17.8,1
118,5.56,90.1,1.3144,50.4,19.2,0
119,5.56,84.2,1.52905,42.3,9.9,0
120,5.74,106.5,1.44955,45.3,15.3,1
121,5.59,80.9,1.39655,47.3,4.2,0
122,5.71,109.5,1.2879,51.4,16.3,1
123,5.73,124.1,1.2296,53.6,18.9,1
124,5.75,104.6,1.23225,53.5,17.5,1
125,5.61,108.1,1.17395,55.7,14.3,1
126,5.73,87.5,1.5529,41.4,19.1,0
127,5.75,83.1,1.4204,46.4,14.6,0
128,5.77,92.3,1.6059,39.4,15.6,0
129,5.68,86.2,1.4416,45.6,17,0
130,5.34,89.4,1.47605,44.3,14.9,0
131,5.79,114.2,1.4734,44.4,16.4,1
132,5.81,110.5,1.5423,41.8,19.5,1
133,5.87,118.5,1.51315,42.9,18.1,1
134,5.81,98.8,1.4363,45.8,14.5,1
135,5.92,84.2,1.4787,44.2,19.1,0
136,5.86,102.7,1.34355,49.3,8.4,1
137,5.73,95.7,1.44955,45.3,7.6,1
138,5.75,100.3,1.3674,48.4,15.6,1
139,5.85,93.6,1.39655,47.3,14.5,0
140,5.8,78.5,1.4893,43.8,15.6,0
141,5.9,75.3,1.46545,44.7,20.5,0
142,5.6,101.6,1.52375,42.5,21.3,1
143,5.7,114.8,1.4575,45,21.6,1
144,5.73,122.9,1.5582,41.2,10.3,1
145,5.79,103.7,1.2296,53.6,19.4,1
146,5.9,107.5,1.4469,45.4,20.2,1
147,5.81,71.8,1.53965,41.9,14.8,0
148,5.85,90.6,1.52375,42.5,18.4,0
149,5.87,97.2,1.4946,43.6,16.3,1
150,5.91,71.2,1.39655,47.3,17.6,0
151,5.85,79.2,1.29055,51.3,9.5,0
152,5.79,70.2,1.2561,52.6,10.8,0
153,5.85,95.8,1.4787,44.2,19.7,1
154,5.98,79.7,1.3674,48.4,14.5,0
155,6,118.8,1.4211,42.6,10.3,1
156,5.94,88.4,1.52905,42.3,16.9,0
157,5.99,74.9,1.4681,44.6,20.1,0
158,5.99,119.5,1.47605,44.3,14.2,1
159,5.96,92.6,1.37535,48.1,16.5,0
160,5.74,121.6,1.24285,53.1,16.8,1
161,5.92,86.1,1.53435,42.1,12.4,0
162,6.02,117.4,1.2243,53.8,17.4,1
163,6.03,79.3,1.2879,51.4,14.3,0
164,5.81,109.3,1.26935,52.1,15.9,1
165,5.83,69.4,1.37005,48.3,15.4,0
166,5.81,107.6,1.26935,52.1,15.3,1
167,5.86,82.3,1.4628,44.8,17.1,0
168,5.81,114.3,1.43365,45.9,16.7,1
169,5.93,69.8,1.5211,42.6,8.3,0
170,5.98,102.7,1.33825,49.5,18.5,1
171,5.88,80.2,1.39655,47.3,14.9,0
172,5.87,99.7,1.2879,51.4,20.5,1
173,5.93,75.6,1.61385,39.1,17.9,0
174,5.78,112.4,1.45485,45.1,18.3,1
175,5.86,81.8,1.3144,50.4,14.3,0
176,5.88,111.7,1.4246,43.6,15.8,1
177,5.94,79.6,1.56085,41.1,5.4,0
178,5.97,112.4,1.2879,51.4,16.4,1
179,5.92,101.3,1.26405,52.3,22.8,1
180,6.07,97,1.2932,51.2,14.2,1
181,5.87,84.1,1.21635,54.1,18.3,0
182,5.88,99.8,1.21105,54.3,22.6,1
183,5.95,76.7,1.3674,48.4,20.4,0
184,5.96,91.7,1.37005,48.3,23.1,0
185,5.87,105.3,1.4681,44.6,22.1,1
186,6.03,172.2,1.6271,38.6,20.5,0
187,6.45,110.3,1.52905,42.3,21.4,0
188,6.44,139.7,1.37005,48.3,21.4,1
189,6.71,168.1,1.33295,49.7,22.9,0
190,6.43,130,1.30115,50.9,25.3,1
191,6.2,89.2,1.71985,35.1,15.6,0
192,6.21,117.7,1.42205,40.3,18.3,1
193,6.58,101.2,1.5476,41.6,21.3,0
194,6.66,127,1.2296,53.6,23.5,1
195,6.31,71.8,1.2031,54.6,21.7,0
196,6.67,112.2,1.26405,52.3,19.3,1
197,6.24,76.6,1.26405,52.3,14.3,0
198,6.41,105.9,1.3621,48.6,24.6,1
199,6.21,88.2,1.22165,53.9,15.3,0
200,6.1,109.7,1.3462,49.2,18.6,1
201,6.1,60.5,1.3886,47.6,20.5,0
202,5.9,114.2,1.4628,44.8,21.3,1
203,6.1,61.1,1.4522,45.2,16.2,0
204,6.07,123.1,1.25345,52.7,19.6,1
205,6.13,113.1,1.1978,54.8,14.2,1
206,6.05,63.9,1.5211,42.6,16.3,0
207,6.18,120.3,1.47675,40.5,14.5,1
208,6.17,69.3,1.48665,43.9,21.3,0
209,6.22,130.3,1.42905,42.3,20.5,1
210,5.95,48.3,1.3091,50.6,15.6,0
211,6.29,133.1,1.2349,53.4,14.2,1
212,6.18,75.7,1.4681,44.6,10.3,0
213,6.16,148.4,1.50785,43.1,8.5,0
214,6.53,110.6,1.26935,52.1,15.6,1
215,6.01,78.6,1.48135,44.1,8.4,0
216,6.41,125.9,1.4416,45.6,12.2,1
217,5.84,112.3,1.47605,44.3,13.5,1
218,5.69,107.9,1.34885,49.1,18.7,1
219,5.72,119.4,1.37005,48.3,19.4,1
220,5.56,124.5,1.3144,50.4,22.3,1
221,5.94,109.5,1.4522,45.2,14.6,1
222,5.73,108.1,1.5529,41.4,15.5,0
223,5.71,104.3,1.45485,45.1,9.6,1
224,5.84,112.3,1.31705,50.3,13.4,1
225,5.75,96.4,1.41245,46.7,15.7,1
226,5.71,155.1,1.37005,48.3,14.3,0
227,5.82,112.6,1.52905,42.3,16.4,0
228,5.94,113.4,1.3833,47.8,13.4,1
229,5.47,115.3,1.4681,44.6,18.9,1
230,5.96,118.5,1.3038,50.8,14.7,1
231,5.71,96.5,1.3091,50.6,16.9,1
232,5.99,93.4,1.2879,51.4,15.3,0
233,5.84,151.3,1.8073,31.8,10.8,0
234,5.78,112.4,1.65625,37.5,15.8,0
235,5.73,104.6,1.2773,51.8,18.4,1
236,5.94,131.8,1.3144,50.4,16.4,1
237,5.83,79.4,1.46015,44.9,11.1,0
238,5.02,143.5,1.45485,45.1,8.6,0
239,5.63,120.3,1.34355,49.3,12,1
240,5.08,108.9,1.47605,44.3,12.8,1
241,5.82,138.1,1.5158,42.8,15.3,0
242,5.73,112.5,1.38065,47.9,18.7,1
243,5.74,108.9,1.31705,50.3,11.9,1
244,5.73,121.4,1.33825,49.5,12.3,1
245,5.86,152.7,1.24815,52.9,11.8,0
246,5.91,144.8,1.1713,55.8,12.9,0
247,5.94,123.6,1.2773,51.8,15.8,1
248,5.84,107.9,1.44955,45.3,10.5,1
249,5.81,141.3,1.52905,42.3,11.3,0
250,5.71,115.4,1.20045,54.7,20.3,1
251,6.12,121.4,1.51315,42.9,18.4,0
252,6.31,145.6,1.59795,39.7,13.8,0
253,6.12,119.3,1.30645,50.7,19.3,1
254,6.14,126.5,1.41245,46.7,14.6,1
255,6.05,109.5,1.2508,52.8,19.1,1
256,5.89,93.5,1.2349,53.4,14.8,0
257,5.82,123.8,1.33295,49.7,15.7,1
258,5.91,90.2,1.4204,46.4,15.3,0
259,6.04,124.5,1.31705,50.3,17.6,1
260,6.03,84.9,1.5423,41.8,14.3,0
261,5.94,145.3,1.3939,47.4,15.4,0
262,5.78,132.6,1.4098,46.8,19.1,1
263,5.87,76.8,1.3144,50.4,25.3,0
264,5.92,91.2,1.0971,58.6,22.4,0
265,5.82,116.7,1.44195,43.7,20.3,1
266,6.04,130.3,1.34035,38.1,20.5,1
267,5.98,109.6,1.3303,49.8,15.4,1
268,5.91,113.4,1.4946,43.6,16.3,0
269,5.92,108.5,1.4628,44.8,18.4,1
270,5.93,140.5,1.4257,46.2,14.5,1
271,4.87,88.9,1.36475,48.5,19.5,0
272,5.92,152.3,1.34355,49.3,18.3,0
273,5.94,130.4,1.4299,43.4,16.1,1
274,5.98,128.6,1.4158,42.8,12.1,1
275,5.94,112.6,1.2031,54.6,18.9,1
276,5.99,109.3,1.2243,53.8,22.8,1
277,6.15,138.1,1.48665,43.9,11.4,0
278,5.84,145.6,1.34355,49.3,18.4,0
279,5.93,109.5,1.4476,41.6,21.6,1
280,5.84,115.3,1.41315,42.9,15.3,1
281,6.01,98.4,1.22695,53.7,12.8,1
282,5.82,146.7,1.48665,43.9,16.7,0
283,5.91,131.4,1.47075,44.5,18.9,1
284,6.49,141.2,1.5158,42.8,11.8,0
285,6.51,125.6,1.4363,45.8,16.3,1
286,5.79,109.4,1.3674,48.4,17.8,1
287,6.51,116.9,1.2614,52.4,15.1,1
288,6.01,104,1.5582,41.2,16.4,0
289,6.22,77.5,1.49195,43.7,13.8,0
290,6.59,153.5,2.14915,18.9,18.5,0
291,6.45,122.4,1.31705,50.3,25.8,1
292,6.09,113.5,1.36475,48.5,15.9,1
293,6.54,114.6,1.3091,50.6,21.3,1
294,6.24,118.9,1.2879,51.4,26.4,1
295,6.35,109.4,1.37005,48.3,10.3,1
296,6.48,112.3,1.18455,55.3,21.4,1
297,6.21,149.1,1.3621,48.6,24.5,0
298,5.61,113.1,1.34885,49.1,18.4,1
299,5.52,95.2,1.44955,45.3,8.6,1
300,6.81,118.4,1.5211,42.6,17.5,0
301,6.21,124.3,1.34885,49.1,12.1,1
302,5.54,100.5,1.52905,42.3,14.6,0
303,6.64,120.3,1.46545,44.7,20.3,1
304,5.66,96.5,1.4416,45.6,9.7,1
305,5.58,92.4,1.5052,43.2,8.1,0
306,5.49,101,1.25345,52.7,14.9,1
307,5.81,115.4,1.3674,48.4,14.5,1
308,5.26,83.5,1.4257,46.2,20.34,0
309,5.66,131.7,1.3886,47.6,13.1,1
310,5.47,155.1,1.1713,55.8,17.8,0
311,5.15,133.4,1.4158,42.8,22.7,1
312,5.78,79.6,1.4522,45.2,22.1,0
313,5.63,124.5,1.2031,54.6,25,1
314,5.44,107.7,1.52905,42.3,24.1,0
315,5.23,105.4,1.42835,46.1,17.3,1
316,5.78,88.8,1.6271,38.6,18.4,0
317,5.53,81.4,1.4522,45.2,19.3,0
318,5.68,99.4,1.35415,48.9,16.4,1
319,5.41,149.5,1.34285,33.1,5.32,1
320,5.62,87,1.5529,41.4,15.6,0
321,5.58,134.9,1.25875,52.5,14,1
322,5.61,79.5,1.47075,44.5,15.5,0
323,5.55,138.4,1.4628,44.8,12.2,1
324,5.46,140.2,1.26405,52.3,20.7,1
325,5.75,98.4,1.3674,48.4,18.1,1
326,5.83,92.4,1.26405,52.3,12.6,0
327,5.76,87.6,1.35415,48.9,14.3,0
328,5.69,97.4,1.47605,44.3,11.6,1
329,5.81,99.5,1.27995,51.7,20.5,1
330,5.68,86.4,1.2349,53.4,18.4,0
331,5.54,123.5,1.3833,47.8,19.1,1
332,5.57,108.6,1.2402,53.2,14.5,1
333,5.84,89.6,1.27995,51.7,16.3,0
334,5.65,98.4,1.49725,43.5,15.8,0
335,5.69,112.3,1.4469,45.4,19.27,1
336,5.67,119.4,1.34885,49.1,16.48,1
337,5.84,98.1,1.5158,42.8,14.5,0
338,5.87,95.6,1.4628,44.8,12.5,1
339,5.68,159.4,1.67745,36.7,7.4,0
340,5.65,95,1.6324,38.4,20.3,0
341,5.67,138.4,1.4098,46.8,21.4,1
342,5.72,125.8,1.33295,49.7,23.9,1
343,5.68,106,1.27995,51.7,18.5,1
344,5.64,140,1.5741,40.6,14.3,0
345,5.55,157.4,1.7066,35.6,16.8,0
346,5.75,105.2,1.3462,49.2,18.7,1
347,5.59,130,1.3303,49.8,22.4,1
348,5.58,132.3,1.2879,51.4,29.3,1
349,5.52,135.9,1.41245,46.7,15.5,1
350,5.71,122,1.36475,48.5,12.7,1
351,5.64,103.7,1.4681,44.6,10.3,1
352,5.49,95.4,1.49195,43.7,14.3,0
353,5.47,112.5,1.52375,42.5,11.6,0
354,5.72,140.4,1.59795,39.7,12.8,0
355,5.71,212.2,1.47075,44.5,19.1,0
356,5.64,109.8,1.46545,44.7,18.7,1
357,5.78,100.8,1.30115,50.9,19.3,1
358,5.72,98.9,1.3144,50.4,17.8,1
359,5.71,72.6,1.4628,44.8,16.3,0
360,5.78,119.4,1.6112,39.2,15.8,0
361,5.84,55.8,1.54495,41.7,12.6,0
362,5.82,84,1.51315,42.9,18.9,0
363,5.81,96.4,1.4363,45.8,17.5,1
364,5.66,100.2,1.30645,50.7,21.2,1
365,5.69,84.3,1.4416,45.6,20.3,0
366,5.59,165,1.57145,40.7,22.6,0
367,5.54,97.6,1.2614,52.4,14.7,1
368,5.78,75.4,1.52375,42.5,10.4,0
369,5.87,71.3,1.5423,41.8,10.9,0
370,5.84,38.7,1.35415,48.9,15.3,0
371,5.53,96.7,1.4628,44.8,18.9,1
372,5.73,99.7,1.3886,47.6,16.8,1
373,5.69,69.4,1.3144,50.4,18.7,0
374,5.75,77,1.26405,52.3,12.1,0
375,5.63,102.2,1.47605,44.3,19.1,1
376,5.78,84.1,1.4363,45.8,17.6,0
377,5.84,95,1.3462,49.2,10.1,1
378,5.23,98.4,1.44955,45.3,21.3,1
379,5.79,108.2,1.4787,44.2,18.3,1
380,5.78,74.5,1.52905,42.3,19.7,0
381,5.76,102.4,1.2349,53.4,19.4,1
382,5.84,109.6,1.2561,52.6,15.5,1
383,5.68,112.8,1.24285,53.1,19,1
384,5.68,75.3,1.1978,54.8,12.3,0
385,5.81,84.8,1.3356,49.6,15.5,0
386,5.83,72.9,1.18455,55.3,14.5,0
387,5.67,105.7,1.2879,51.4,12.6,1
388,5.82,68.7,1.3038,50.8,14.8,0
389,5.73,78,1.31705,50.3,17.3,0
390,5.65,90.5,1.25345,52.7,18.9,0
391,5.74,155.1,1.2773,51.8,19.5,0
392,5.84,105.4,1.4893,43.8,9.3,0
393,5.91,93.4,1.3621,48.6,20.6,0
394,5.86,102.7,1.49725,43.5,9.7,0
395,5.93,75.6,1.46015,44.9,22.1,0
396,5.84,102.4,1.4469,45.4,19.9,1
397,5.71,106.8,1.2773,51.8,15.4,1
398,5.78,80.5,1.4469,45.4,18.2,0
399,5.72,65,1.4257,46.2,11.1,0
400,5.91,70.4,1.3992,47.2,12.8,0
401,4.23,55.2,1.35945,48.7,15.5,0
402,5.59,105.8,1.4098,46.8,19.5,1
403,5.58,142.3,1.26405,52.3,14.5,0
404,5.73,141.4,1.3727,48.2,13.6,0
405,5.69,88.5,1.53435,42.1,16.8,0
406,5.71,140.9,1.3144,50.4,12.9,0
407,5.81,93,1.23225,53.5,18.1,0
408,5.74,95.6,1.6006,39.6,11,0
409,5.78,77.4,1.76225,33.5,15.4,0
410,5.67,72.6,1.5158,42.8,18.3,0
411,5.69,70.4,1.3356,49.6,10.9,0
412,5.72,80.3,1.36475,48.5,13.8,0
413,5.68,106.4,1.39655,47.3,10.6,1
414,5.78,117.2,1.4628,44.8,12.5,1
415,5.6,121.6,1.2826,51.6,19.52,1
416,5.64,82.7,1.26935,52.1,5.98,0
417,5.71,105.8,1.32235,50.1,8.47,1
418,5.67,70.8,1.26405,52.3,27.8,0
419,5.77,112.6,1.2879,51.4,18.8,1
420,5.72,135.4,1.36475,48.5,19,1
421,5.87,110,1.4575,45,21.6,1
422,5.58,118.4,1.2879,51.4,13.6,1
423,5.69,88.2,1.1766,55.6,10.4,0
424,5.83,105.2,1.4098,46.8,11.7,1
425,5.78,93,1.42305,46.3,14.1,0
426,5.71,86.2,1.34355,49.3,16.2,0
427,5.65,85,1.42835,46.1,12.1,0
428,5.83,112.7,1.3939,47.4,15.3,1
429,5.91,118.9,1.26405,52.3,24.5,1
430,5.81,114.3,1.25345,52.7,21.3,1
431,5.87,88.4,1.50785,43.1,22.1,0
432,5.86,74.6,2.24455,15.3,24.6,0
433,5.84,112.1,2.1783,17.8,16.8,0
434,5.79,104.9,2.2207,16.2,18.1,0
435,5.81,102.5,1.5264,42.4,15.8,0
436,5.9,111.7,1.4363,45.8,14.3,1
437,5.81,72.5,1.3462,49.2,10.3,0
438,5.12,79.3,1.44955,45.3,14.2,0
439,5.41,114.8,1.40715,46.9,21.37,1
440,4.19,83.4,1.3356,49.6,20.5,0
441,5.79,102.3,1.4098,46.8,23.4,1
442,5.81,114.8,1.3674,48.4,19.24,1
443,5.62,107.5,1.52375,42.5,18.4,0
444,5.84,108.5,1.2561,52.6,21,1
445,5.75,88.4,1.4893,43.8,19.5,0
446,5.87,94.5,1.48135,44.1,10.7,0
447,5.94,115.8,1.2932,51.2,18.9,1
448,5.82,78,1.2508,52.8,9.4,0
449,5.76,70,1.2296,53.6,10.2,0
450,5.75,96.4,1.25345,52.7,9.4,1
451,6.02,108.6,1.2879,51.4,10.3,1
452,6.03,80.6,1.25345,52.7,8.4,0
453,5.89,108.4,1.3727,48.2,15.8,1
454,6.02,107.5,1.38595,47.7,14.8,1
455,6.03,111.4,1.52905,42.3,14,0
456,5.98,88.5,1.3621,48.6,9.1,0
457,5.69,117.9,1.42305,46.3,15.9,1
458,5.86,86.2,1.3197,50.2,18.2,0
459,5.92,113.7,1.34355,49.3,18.7,1
460,5.94,79.4,1.25345,52.7,19.3,0
461,5.87,123.6,1.4522,45.2,19.3,1
462,5.79,108.4,1.34355,49.3,21.2,1
463,5.66,71,1.4893,43.8,12.1,0
464,5.78,83,1.4416,45.6,9.3,0
465,5.89,58.4,1.3144,50.4,20.7,0
466,5.96,65.7,1.5158,42.8,9.8,0
467,6.02,117.4,1.2508,52.8,24.1,1
468,5.91,120.5,1.2349,53.4,19.3,1
469,5.81,129.4,1.30115,50.9,15.4,1
470,5.88,76.8,1.44955,45.3,11.2,0
471,5.19,62,1.46015,44.9,18.9,0
472,5.86,88.4,1.51845,42.7,10.5,0
473,5.84,75.1,1.43365,45.9,17.9,0
474,5.92,80.6,1.5052,43.2,18.1,0
475,5.99,115.4,1.2614,52.4,12.5,1
476,5.81,111.8,1.37005,48.3,16.8,1
477,6.02,105,1.4522,45.2,10.4,1
478,5.84,88.2,1.49195,43.7,9.6,0
479,5.91,109.3,1.18455,55.3,10.4,1
480,6.02,107.1,1.2561,52.6,15.9,1
481,5.79,90,1.1713,55.8,10.2,0
482,5.86,85.4,1.34355,49.3,12.4,0
483,6.01,89.1,1.4363,45.8,11.3,0
484,6.55,113.4,1.3091,50.6,17.6,1
485,6.47,111,1.4469,45.4,14.2,1
486,6.78,105.8,1.34885,49.1,12.5,1
487,6.63,140,1.4734,44.4,17.3,1
488,6.14,88,1.5211,42.6,18.4,0
489,6.19,84.6,1.48665,43.9,15.7,0
490,6.39,78.9,1.43365,45.9,13.6,0
491,6.57,133.8,1.34355,49.3,13.6,1
492,6.26,112.5,1.3939,47.4,14.5,1
493,6.71,114.2,1.2773,51.8,12.3,1
494,6.13,118.5,1.3674,48.4,18.4,1
495,6.37,102.8,1.2879,51.4,14.8,1
496,6.24,95,1.31175,50.5,15,1
497,6.01,98.4,1.22695,53.7,14.8,1
498,5.98,70.3,1.4098,46.8,12.3,0
499,5.84,64.8,1.53965,41.9,14.8,0
500,5.97,112.9,1.5158,42.8,12.3,0
501,6.01,118.4,1.55555,41.3,20.3,0
502,6.08,135.3,1.36475,48.5,11.1,1
503,5.94,75.3,1.31705,50.3,9.7,0
504,6.04,87.4,1.6854,36.4,8.1,0
505,6.21,68.6,1.4363,45.8,9.8,0
506,6.17,78.3,1.3886,47.6,6.3,0
507,6.01,115.1,1.44425,45.5,18.4,1
508,6.35,118.3,1.3515,49,16.3,1
509,6.25,62.5,1.4893,43.8,14.5,0
